,0
532,30528218
533,30528184
534,30527255
535,30527254
536,30526624
537,30526554
538,30526552
539,30526049
540,30525955
541,30525859
542,30525586
543,30521928
544,30521799
545,30521744
546,30521428
547,30521378
548,30521085
549,30520691
550,30519891
551,30519738
552,30519364
553,30519207
554,30518394
555,30518367
556,30518154
557,30518130
558,30518065
559,30518029
560,30508407
561,30507813
562,30507370
563,30506942
564,30506905
565,30506571
566,30505331
567,30505271
568,30504952
569,30504766
570,30504625
571,30503839
572,30503692
573,30503215
574,30502373
575,30502357
576,30502034
577,30517714
578,30517460
579,30517206
580,30517031
581,30516845
582,30516421
583,30516329
584,30515977
585,30515956
586,30515278
587,30515275
588,30515109
589,30514879
590,30513988
591,30513970
592,30513901
593,30513857
594,30513768
595,30513740
596,30513715
597,30513703
598,30504007
599,30513310
600,30512990
601,30512987
602,30512228
603,30511960
604,30511918
605,30511639
606,30511512
607,30511511
608,30511505
609,30510912
610,30510803
611,30510388
612,30510205
613,30510203
614,30509734
615,30509334
616,30509175
617,30509127
618,30509117
619,30502680
620,30500561
621,30498839
622,30498835
623,30498356
624,30498097
625,30497926
626,30497848
627,30497809
628,30496795
629,30496384
630,30489585
631,30488596
632,30488185
633,30488045
634,30487671
635,30487567
636,30487566
637,30487562
638,30487560
639,30487559
640,30487558
641,30487557
642,30487390
643,30487357
644,30486551
645,30486486
646,30485836
647,30485705
648,30484734
649,30484668
650,30484350
651,30483756
652,30483735
653,30483565
654,30483446
655,30483238
656,30482476
657,30482218
658,30481042
659,30480770
660,30480750
661,30480051
662,30479664
663,30479649
664,30479647
665,30477988
666,30477747
667,30477626
668,30477513
669,30477217
670,30477139
671,30477101
672,30477080
673,30476878
674,30476012
675,30475967
676,30475961
677,30475957
678,30475446
679,30475214
680,30474792
681,30474622
682,30474543
683,30474376
684,30474082
685,30473465
686,30473022
687,30472964
688,30472734
689,30472727
690,30472712
691,30472463
692,30472401
693,30472037
694,30471862
695,30471564
696,30471526
697,30471346
698,30471233
699,30471157
700,30470823
701,30470805
702,30470572
703,30469459
704,30469383
705,30469079
706,30468867
707,30468792
708,30468624
709,30468509
710,30468345
711,30468286
712,30467985
713,30467983
714,30467969
715,30467558
716,30467440
717,30467091
718,30466492
719,30466464
720,30466435
721,30466421
722,30466372
723,30465871
724,30465867
725,30465844
726,30465813
727,30465345
728,30465158
729,30464770
730,30464239
731,30464235
732,30464025
733,30463916
734,30463844
735,30463517
736,30463471
737,30463312
738,30463291
739,30463264
740,30463250
741,30463189
742,30463068
743,30462534
744,30462527
745,30462474
746,30462179
747,30461730
748,30461097
749,30460737
750,30460700
751,30458811
752,30458653
753,30458004
754,30457913
755,30457472
756,30456866
757,30455677
758,30455397
759,30454864
760,30454059
761,30453834
762,30453534
763,30453429
764,30451975
765,30451912
766,30451856
767,30450805
768,30450768
769,30450758
770,30449694
771,30449620
772,30449095
773,30448542
774,30448371
775,30447537
776,30447499
777,30447350
778,30447331
779,30447137
780,30446908
781,30446669
782,30446513
783,30446297
784,30445939
785,30445718
786,30445691
787,30445671
788,30445359
789,30445165
790,30445154
791,30445140
792,30445014
793,30444482
794,30444022
795,30443192
796,30442802
797,30442233
798,30441982
799,30441880
800,30441846
801,30441827
802,30441779
803,30433854
804,30431705
805,30431550
806,30431036
807,30430189
808,30430057
809,30429827
810,30429410
811,30429365
812,30429127
813,30428939
814,30428888
815,30428873
816,30428858
817,30428705
818,30428630
819,30428585
820,30428550
821,30428423
822,30427004
823,30426695
824,30426577
825,30426041
826,30425749
827,30425198
828,30424822
829,30424759
830,30424495
831,30423963
832,30423953
833,30423916
834,30423848
835,30423518
836,30423183
837,30422704
838,30421856
839,30421334
840,30420515
841,30419927
842,30419699
843,30418293
844,30417607
845,30417575
846,30417357
847,30417321
848,30417157
849,30416997
850,30416865
851,30416064
852,30415949
853,30415907
854,30415772
855,30415758
856,30415552
857,30415544
858,30414884
859,30414664
860,30414448
861,30414432
862,30414427
863,30414175
864,30413949
865,30413815
866,30413707
867,30413399
868,30413064
869,30412730
870,30412695
871,30412690
872,30412327
873,30411548
874,30411231
875,30411173
876,30410858
877,30410772
878,30410754
879,30410195
880,30410161
881,30409977
882,30409921
883,30409764
884,30409751
885,30409703
886,30409105
887,30408717
888,30408096
889,30407222
890,30406963
891,30406057
892,30406055
893,30406007
894,30405551
895,30405527
896,30405427
897,30405201
898,30405108
899,30405088
900,30405019
901,30404613
902,30404231
903,30404071
904,30403220
905,30402997
906,30402959
907,30402931
908,30402896
909,30401827
910,30401668
911,30401003
912,30400905
913,30400654
914,30400630
915,30400620
916,30400600
917,30400582
918,30400581
919,30400355
920,30400200
921,30400147
922,30400089
923,30400045
924,30400037
925,30400017
926,30400011
927,30399571
928,30399141
929,30399060
930,30398974
931,30398002
932,30397806
933,30397356
934,30396756
935,30396596
936,30396359
937,30396081
938,30396031
939,30393821
940,30393804
941,30393477
942,30393432
943,30393077
944,30392852
945,30392364
946,30392188
947,30391396
948,30390863
949,30390717
950,30390669
951,30390648
952,30390355
953,30390290
954,30390287
955,30390093
956,30389661
957,30388923
958,30388851
959,30388849
960,30388803
961,30388762
962,30388741
963,30388605
964,30388378
965,30388113
966,30387338
967,30387322
968,30387022
969,30386974
970,30386869
971,30386547
972,30386536
973,30386323
974,30385873
975,30385288
976,30385171
977,30385096
978,30384895
979,30384380
980,30383830
981,30383412
982,30383332
983,30382123
984,30381901
985,30381838
986,30381703
987,30381625
988,30381205
989,30380678
990,30380598
991,30380017
992,30380007
993,30379216
994,30378521
995,30378511
996,30376663
997,30376360
998,30376043
999,30375986
1000,30375787
1001,30375290
1002,30374976
1003,30374679
1004,30373291
1005,30373215
1006,30373105
1007,30372842
1008,30372826
1009,30372819
1010,30372785
1011,30371047
1012,30371000
1013,30370643
1014,30370307
1015,30369082
1016,30369067
1017,30368693
1018,30368499
1019,30368272
1020,30367111
1021,30367045
1022,30366378
1023,30366186
1024,30365815
1025,30365323
1026,30365257
1027,30365061
1028,30365044
1029,30364491
1030,30364484
1031,30363801
1032,30362639
1033,30362611
1034,30362585
1035,30362563
1036,30362336
1037,30361965
1038,30361871
1039,30361718
1040,30361289
1041,30360555
1042,30360535
1043,30360437
1044,30359877
1045,30359861
1046,30359842
1047,30359674
1048,30359394
1049,30359371
1050,30359258
1051,30358659
1052,30358338
1053,30358146
1054,30358144
1055,30357516
1056,30356974
1057,30356919
1058,30356824
1059,30356640
1060,30356278
1061,30356113
1062,30355499
1063,30355361
1064,30355312
1065,30354383
1066,30353684
1067,30353355
1068,30353127
1069,30353027
1070,30353008
1071,30352741
1072,30352430
1073,30352392
1074,30352258
1075,30352123
1076,30352059
1077,30351986
1078,30351367
1079,30351164
1080,30351159
1081,30351157
1082,30350980
1083,30350446
1084,30350426
1085,30350239
1086,30349761
1087,30349631
1088,30349592
1089,30349339
1090,30349136
1091,30348820
1092,30348622
1093,30348225
1094,30347893
1095,30347877
1096,30347741
1097,30347719
1098,30347266
1099,30344977
1100,30344272
1101,30344169
1102,30344017
1103,30343656
1104,30343647
1105,30343561
1106,30343140
1107,30343042
1108,30342966
1109,30342783
1110,30342257
1111,30342191
1112,30342121
1113,30342099
1114,30342056
1115,30342053
1116,30342030
1117,30340815
1118,30340811
1119,30340810
1120,30340032
1121,30339765
1122,30339035
1123,30338665
1124,30338362
1125,30338120
1126,30338112
1127,30337343
1128,30337225
1129,30337186
1130,30336659
1131,30336644
1132,30336621
1133,30336615
1134,30336572
1135,30336180
1136,30336163
1137,30335859
1138,30335476
1139,30335410
1140,30335007
1141,30333974
1142,30333759
1143,30333131
1144,30328516
1145,30328245
1146,30328237
1147,30327570
1148,30327367
1149,30326897
1150,30326479
1151,30326244
1152,30325342
1153,30324108
1154,30323910
1155,30323806
1156,30323174
1157,30322575
1158,30322573
1159,30322196
1160,30322156
1161,30322012
1162,30321762
1163,30321750
1164,30321654
1165,30321202
1166,30321058
1167,30320911
1168,30320162
1169,30319853
1170,30319558
1171,30319539
1172,30319424
1173,30319420
1174,30319281
1175,30318987
1176,30318634
1177,30318250
1178,30318117
1179,30318102
1180,30318065
1181,30317879
1182,30317573
1183,30317568
1184,30317321
1185,30317122
1186,30316815
1187,30316166
1188,30315490
1189,30315472
1190,30315401
1191,30315171
1192,30314864
1193,30314697
1194,30314563
1195,30314313
1196,30311595
1197,30311288
1198,30309599
1199,30309268
1200,30309046
1201,30308579
1202,30308520
1203,30308480
1204,30308245
1205,30307295
1206,30307282
1207,30307161
1208,30307154
1209,30307152
1210,30307151
1211,30307150
1212,30306296
1213,30306016
1214,30305824
1215,30305689
1216,30305645
1217,30305084
1218,30304842
1219,30304787
1220,30304679
1221,30304667
1222,30304638
1223,30303740
1224,30302474
1225,30302343
1226,30301967
1227,30301961
1228,30301822
1229,30301784
1230,30301681
1231,30301195
1232,30301151
1233,30300926
1234,30300837
1235,30300671
1236,30300654
1237,30300289
1238,30300140
1239,30300010
1240,30299436
1241,30299269
1242,30299245
1243,30298849
1244,30298647
1245,30297656
1246,30297199
1247,30297106
1248,30296820
1249,30296183
1250,30295852
1251,30295509
1252,30295213
1253,30294958
1254,30294763
1255,30294696
1256,30294278
1257,30293577
1258,30293335
1259,30292888
1260,30292638
1261,30292475
1262,30292428
1263,30292107
1264,30291862
1265,30291580
1266,30291284
1267,30291087
1268,30291068
1269,30290793
1270,30290722
1271,30290274
1272,30290217
1273,30290084
1274,30290076
1275,30290074
1276,30289587
1277,30289048
1278,30289019
1279,30288689
1280,30287733
1281,30287273
1282,30287240
1283,30287090
1284,30286918
1285,30286787
1286,30286723
1287,30286093
1288,30285685
1289,30285581
1290,30285324
1291,30285088
1292,30284135
1293,30284014
1294,30283914
1295,30283308
1296,30283251
1297,30283242
1298,30283077
1299,30282988
1300,30282904
1301,30282902
1302,30282899
1303,30282818
1304,30282516
1305,30281210
1306,30280996
1307,30280513
1308,30279683
1309,30279515
1310,30279329
1311,30279161
1312,30279096
1313,30277821
1314,30277729
1315,30277185
1316,30277147
1317,30276527
1318,30276508
1319,30275870
1320,30275865
1321,30275460
1322,30274326
1323,30273821
1324,30273662
1325,30273616
1326,30273560
1327,30273406
1328,30273374
1329,30273090
1330,30272858
1331,30272836
1332,30271526
1333,30270679
1334,30270670
1335,30270519
1336,30270442
1337,30270327
1338,30270274
1339,30270215
1340,30269448
1341,30268024
1342,30267768
1343,30267558
1344,30266729
1345,30266117
1346,30265576
1347,30265241
1348,30264828
1349,30264458
1350,30264370
1351,30264171
1352,30264073
1353,30263039
1354,30262316
1355,30262148
1356,30261887
1357,30261698
1358,30261661
1359,30261617
1360,30261553
1361,30261289
1362,30261280
1363,30260984
1364,30260393
1365,30259809
1366,30258739
1367,30258403
1368,30258366
1369,30258363
1370,30257983
1371,30257977
1372,30257523
1373,30257464
1374,30257454
1375,30257444
1376,30257374
1377,30257330
1378,30257264
1379,30256681
1380,30256654
1381,30256492
1382,30256131
1383,30255750
1384,30255260
1385,30255188
1386,30255184
1387,30254630
1388,30254498
1389,30254287
1390,30254156
1391,30254013
1392,30253939
1393,30253763
1394,30253280
1395,30253206
1396,30253111
1397,30253082
1398,30252613
1399,30251622
1400,30251457
1401,30251338
1402,30251109
1403,30251017
1404,30250849
1405,30250560
1406,30250438
1407,30250258
1408,30249590
1409,30249576
1410,30249323
1411,30249083
1412,30249012
1413,30249008
1414,30248889
1415,30248505
1416,30248445
1417,30247998
1418,30246883
1419,30246793
1420,30246576
1421,30246472
1422,30245336
1423,30245181
1424,30244780
1425,30244204
1426,30243773
1427,30243722
1428,30243538
1429,30242233
1430,30241944
1431,30241863
1432,30241659
1433,30241565
1434,30241426
1435,30241362
1436,30241328
1437,30241292
1438,30240938
1439,30240538
1440,30240535
1441,30239555
1442,30239292
1443,30238324
1444,30238111
1445,30236762
1446,30235828
1447,30235720
1448,30235452
1449,30235399
1450,30235253
1451,30235219
1452,30234883
1453,30234760
1454,30234352
1455,30233288
1456,30232857
1457,30232852
1458,30232768
1459,30232707
1460,30232389
1461,30232024
1462,30232001
1463,30231992
1464,30231880
1465,30231537
1466,30231531
1467,30231466
1468,30230594
1469,30230575
1470,30230471
1471,30230367
1472,30230252
1473,30230244
1474,30229293
1475,30228826
1476,30228670
1477,30228117
1478,30227840
1479,30227182
1480,30227148
1481,30227131
1482,30226991
1483,30226915
1484,30226474
1485,30226473
1486,30226009
1487,30226008
1488,30226005
1489,30225859
1490,30225432
1491,30224302
1492,30224299
1493,30224057
1494,30223660
1495,30223438
1496,30223002
1497,30222981
1498,30222916
1499,30222208
1500,30222113
1501,30221679
1502,30219609
1503,30219433
1504,30219301
1505,30219052
1506,30218679
1507,30217502
1508,30217462
1509,30217262
1510,30217210
1511,30216995
1512,30216887
1513,30216657
1514,30216165
1515,30216119
1516,30215930
1517,30215922
1518,30215551
1519,30215475
1520,30214649
1521,30214535
1522,30214412
1523,30214272
1524,30213948
1525,30213825
1526,30213770
1527,30213695
1528,30213694
1529,30213134
1530,30213052
1531,30213037
1532,30212139
1533,30212125
1534,30212077
1535,30212072
1536,30212649
1537,30212643
1538,30212233
1539,30212231
1540,30211444
1541,30211231
1542,30211134
1543,30210942
1544,30210573
1545,30210091
1546,30209430
1547,30208938
1548,30208909
1549,30208819
1550,30208589
1551,30207814
1552,30207351
1553,30207271
1554,30207268
1555,30206280
1556,30205580
1557,30205548
1558,30205522
1559,30205436
1560,30204483
1561,30204276
1562,30204245
1563,30203289
1564,30203196
1565,30202973
1566,30202815
1567,30201971
1568,30201950
1569,30201876
1570,30201764
1571,30201225
1572,30201103
1573,30200990
1574,30200865
1575,30200659
1576,30200502
1577,30200454
1578,30200432
1579,30200239
1580,30200115
1581,30198627
1582,30198375
1583,30197908
1584,30196937
1585,30196772
1586,30196160
1587,30194696
1588,30194548
1589,30193785
1590,30193589
1591,30193395
1592,30193114
1593,30192004
1594,30190536
1595,30190464
1596,30190007
1597,30189642
1598,30189619
1599,30189607
1600,30189540
1601,30189367
1602,30189364
1603,30189363
1604,30189250
1605,30189182
1606,30189147
1607,30188965
1608,30188750
1609,30188493
1610,30187895
1611,30187832
1612,30187293
1613,30186533
1614,30185849
1615,30185666
1616,30185180
1617,30184739
1618,30183503
1619,30183494
1620,30183290
1621,30183039
1622,30182854
1623,30181690
1624,30181511
1625,30181158
1626,30180949
1627,30180888
1628,30179726
1629,30178808
1630,30178798
1631,30178736
1632,30178194
1633,30177770
1634,30177649
1635,30177634
1636,30177588
1637,30177151
1638,30176958
1639,30176893
1640,30176807
1641,30176566
1642,30175725
1643,30175430
1644,30175257
1645,30175137
1646,30175052
1647,30174691
1648,30174651
1649,30174510
1650,30174308
1651,30174302
1652,30174229
1653,30174051
1654,30173509
1655,30172252
1656,30171916
1657,30170995
1658,30170731
1659,30170306
1660,30170304
1661,30169795
1662,30168607
1663,30168511
1664,30168044
1665,30167852
1666,30167574
1667,30167570
1668,30167430
1669,30166974
1670,30166563
1671,30161155
1672,30159983
1673,30159285
1674,30159060
1675,30159057
1676,30158649
1677,30158592
1678,30158569
1679,30158241
1680,30158223
1681,30157819
1682,30157220
1683,30157109
1684,30156246
1685,30156176
1686,30156058
1687,30155856
1688,30155750
1689,30155650
1690,30154417
1691,30154352
1692,30153545
1693,30153476
1694,30153321
1695,30153290
1696,30153273
1697,30153066
1698,30152114
1699,30152105
1700,30151237
1701,30151234
1702,30151232
1703,30151230
1704,30151229
1705,30151225
1706,30151213
1707,30151194
1708,30150094
1709,30149681
1710,30149518
1711,30149267
1712,30148757
1713,30148680
1714,30148215
1715,30148107
1716,30146891
1717,30145572
1718,30145269
1719,30144975
1720,30144630
1721,30144467
1722,30144269
1723,30143610
1724,30143607
1725,30143599
1726,30143408
1727,30143305
1728,30143076
1729,30142366
1730,30141985
1731,30141582
1732,30141315
1733,30141265
1734,30141234
1735,30141182
1736,30141160
1737,30140371
1738,30140177
1739,30139631
1740,30139630
1741,30139562
1742,30139344
1743,30139225
1744,30138755
1745,30138641
1746,30138626
1747,30138547
1748,30137950
1749,30137481
1750,30137123
1751,30136893
1752,30135414
1753,30135362
1754,30135311
1755,30135249
1756,30135180
1757,30134638
1758,30134595
1759,30134573
1760,30134549
1761,30134248
1762,30133773
1763,30133656
1764,30133617
1765,30133134
1766,30132867
1767,30132433
1768,30132243
1769,30131457
1770,30131435
1771,30131248
1772,30131158
1773,30130954
1774,30130543
1775,30129505
1776,30128932
1777,30127768
1778,30127325
1779,30126844
1780,30126689
1781,30126463
1782,30126346
1783,30126176
1784,30125063
1785,30125695
1786,30124145
1787,30123797
1788,30123791
1789,30122874
1790,30122686
1791,30121854
1792,30121807
1793,30121579
1794,30121575
1795,30121567
1796,30121310
1797,30120910
1798,30120064
1799,30118771
1800,30118514
1801,30118483
1802,30118352
1803,30117227
1804,30116740
1805,30116508
1806,30116490
1807,30116479
1808,30116319
1809,30116212
1810,30116165
1811,30115853
1812,30115826
1813,30115652
1814,30115555
1815,30115415
1816,30115043
1817,30114710
1818,30114411
1819,30112914
1820,30112875
1821,30112569
1822,30112394
1823,30112303
1824,30112044
1825,30111758
1826,30111728
1827,30111678
1828,30111496
1829,30111387
1830,30110943
1831,30110887
1832,30109955
1833,30109842
1834,30109669
1835,30109221
1836,30108963
1837,30108512
1838,30107490
1839,30107135
1840,30106625
1841,30106624
1842,30106622
1843,30106479
1844,30106124
1845,30105962
1846,30105901
1847,30105819
1848,30104485
1849,30104247
1850,30104112
1851,30103753
1852,30103535
1853,30103515
1854,30103509
1855,30103441
1856,30103429
1857,30103401
1858,30103390
1859,30102932
1860,30102890
1861,30102711
1862,30102568
1863,30102041
1864,30101502
1865,30100246
1866,30100243
1867,30099827
1868,30099727
1869,30097911
1870,30097828
1871,30097632
1872,30097599
1873,30096921
1874,30096878
1875,30096853
1876,30096821
1877,30096799
1878,30096758
1879,30096305
1880,30096208
1881,30095217
1882,30095153
1883,30094122
1884,30094113
1885,30093912
1886,30093598
1887,30093356
1888,30093310
1889,30093114
1890,30092704
1891,30092606
1892,30092569
1893,30091668
1894,30091431
1895,30090167
1896,30090085
1897,30089778
1898,30089335
1899,30089279
1900,30089270
1901,30089130
1902,30088983
1903,30088676
1904,30088336
1905,30088333
1906,30088302
1907,30088008
1908,30087152
1909,30087032
1910,30086873
1911,30084705
1912,30084652
1913,30084544
1914,30084105
1915,30083538
1916,30082749
1917,30082748
1918,30082636
1919,30082324
1920,30081982
1921,30081522
1922,30081425
1923,30081082
1924,30080863
1925,30080858
1926,30080446
1927,30079946
