,IdList
532,30516421
533,30516329
534,30515977
535,30515956
536,30515278
537,30515275
538,30515109
539,30514879
540,30513988
541,30513970
542,30513901
543,30513857
544,30513740
545,30513715
546,30513703
547,30504007
548,30513310
549,30512990
550,30512987
551,30512228
552,30511960
553,30511918
554,30511639
555,30511512
556,30511511
557,30511505
558,30510912
559,30510803
560,30510388
561,30510205
562,30510203
563,30509734
564,30509334
565,30509175
566,30509127
567,30509117
568,30502680
569,30500561
570,30498839
571,30498835
572,30498097
573,30497926
574,30497848
575,30497809
576,30496795
577,30496384
578,30489585
579,30488596
580,30488185
581,30488045
582,30487671
583,30487567
584,30487566
585,30487562
586,30487560
587,30487559
588,30487558
589,30487557
590,30487390
591,30487357
592,30486551
593,30486486
594,30485836
595,30485705
596,30484734
597,30484668
598,30484350
599,30484323
600,30483756
601,30483735
602,30483565
603,30483446
604,30483238
605,30482476
606,30482218
607,30481042
608,30480770
609,30480750
610,30480051
611,30479664
612,30479649
613,30479647
614,30477988
615,30477747
616,30477626
617,30477513
618,30477217
619,30477139
620,30476878
621,30476012
622,30475967
623,30475961
624,30475957
625,30475446
626,30475214
627,30474792
628,30474622
629,30474543
630,30474376
631,30474082
632,30473465
633,30473022
634,30472964
635,30472734
636,30472727
637,30472712
638,30472463
639,30472401
640,30472037
641,30471862
642,30471564
643,30471526
644,30471346
645,30471233
646,30471157
647,30470823
648,30470805
649,30470572
650,30469383
651,30469079
652,30468867
653,30468792
654,30468624
655,30468509
656,30468345
657,30468286
658,30467985
659,30467983
660,30467969
661,30467558
662,30467440
663,30467091
664,30466492
665,30466464
666,30466435
667,30466421
668,30466372
669,30465871
670,30465867
671,30465844
672,30465813
673,30465345
674,30465158
675,30464770
676,30464239
677,30464235
678,30464025
679,30463916
680,30463844
681,30463517
682,30463471
683,30463312
684,30463291
685,30463264
686,30463250
687,30463189
688,30463068
689,30462534
690,30462527
691,30462474
692,30462179
693,30461730
694,30461097
695,30460737
696,30460700
697,30458811
698,30458653
699,30458004
700,30457913
701,30457472
702,30456866
703,30455677
704,30455397
705,30454864
706,30454059
707,30453834
708,30453534
709,30453429
710,30451975
711,30451912
712,30451856
713,30450805
714,30450768
715,30450758
716,30449694
717,30449620
718,30449095
719,30448542
720,30448371
721,30447537
722,30447499
723,30447350
724,30447331
725,30447137
726,30446908
727,30446669
728,30446513
729,30446297
730,30445939
731,30445718
732,30445691
733,30445671
734,30445359
735,30445165
736,30445154
737,30445140
738,30445014
739,30444482
740,30444022
741,30443192
742,30442802
743,30442233
744,30441982
745,30441880
746,30441846
747,30441827
748,30441779
749,30433854
750,30431705
751,30431550
752,30431036
753,30430189
754,30430057
755,30429827
756,30429410
757,30429365
758,30429127
759,30428939
760,30428888
761,30428873
762,30428858
763,30428705
764,30428630
765,30428585
766,30428550
767,30428423
768,30427004
769,30426695
770,30426577
771,30426041
772,30425749
773,30425198
774,30424822
775,30424759
776,30424495
777,30423963
778,30423953
779,30423916
780,30423848
781,30423518
782,30423183
783,30422704
784,30421856
785,30421334
786,30420515
787,30419927
788,30419699
789,30418293
790,30417607
791,30417575
792,30417357
793,30417321
794,30417157
795,30416997
796,30416865
797,30416064
798,30415949
799,30415907
800,30415772
801,30415758
802,30415552
803,30415544
804,30414884
805,30414664
806,30414448
807,30414432
808,30414427
809,30414175
810,30413949
811,30413815
812,30413707
813,30413399
814,30413064
815,30412730
816,30412695
817,30412690
818,30412327
819,30411548
820,30411231
821,30411173
822,30410858
823,30410772
824,30410754
825,30410195
826,30410161
827,30409977
828,30409921
829,30409764
830,30409751
831,30409703
832,30409105
833,30408717
834,30408096
835,30407222
836,30406963
837,30406057
838,30406055
839,30406007
840,30405551
841,30405527
842,30405427
843,30405201
844,30405108
845,30405088
846,30405019
847,30404613
848,30404231
849,30404071
850,30403220
851,30402997
852,30402959
853,30402931
854,30402896
855,30401827
856,30401668
857,30401003
858,30400905
859,30400654
860,30400630
861,30400620
862,30400600
863,30400582
864,30400581
865,30400355
866,30400200
867,30400147
868,30400089
869,30400045
870,30400037
871,30400017
872,30400011
873,30399571
874,30399141
875,30399060
876,30398974
877,30398002
878,30397806
879,30397356
880,30396756
881,30396596
882,30396359
883,30396081
884,30396031
885,30393821
886,30393804
887,30393477
888,30393432
889,30393077
890,30392852
891,30392364
892,30392188
893,30391396
894,30390863
895,30390717
896,30390669
897,30390648
898,30390355
899,30390290
900,30390287
901,30390093
902,30389661
903,30388923
904,30388851
905,30388849
906,30388803
907,30388762
908,30388741
909,30388605
910,30388378
911,30388113
912,30387338
913,30387322
914,30387022
915,30386974
916,30386869
917,30386547
918,30386536
919,30386323
920,30385873
921,30385288
922,30385171
923,30385096
924,30384895
925,30384380
926,30383830
927,30383412
928,30383332
929,30382123
930,30381901
931,30381838
932,30381703
933,30381625
934,30381205
935,30380678
936,30380598
937,30380017
938,30380007
939,30379216
940,30378521
941,30378511
942,30376663
943,30376360
944,30376043
945,30375986
946,30375787
947,30375290
948,30374976
949,30374679
950,30373291
951,30373215
952,30373105
953,30372842
954,30372826
955,30372819
956,30372785
957,30371047
958,30371000
959,30370643
960,30370307
961,30369082
962,30369067
963,30368693
964,30368499
965,30368272
966,30367111
967,30367045
968,30366378
969,30366186
970,30365815
971,30365323
972,30365257
973,30365061
974,30365044
975,30364491
976,30364484
977,30363801
978,30362639
979,30362611
980,30362585
981,30362563
982,30362336
983,30361965
984,30361871
985,30361718
986,30361289
987,30360555
988,30360535
989,30360437
990,30359877
991,30359861
992,30359842
993,30359674
994,30359394
995,30359371
996,30359258
997,30358659
998,30358338
999,30358146
1000,30358144
1001,30357516
1002,30356974
1003,30356919
1004,30356824
1005,30356640
1006,30356278
1007,30356113
1008,30355499
1009,30355361
1010,30355312
1011,30354383
1012,30353684
1013,30353355
1014,30353127
1015,30353027
1016,30353008
1017,30352741
1018,30352430
1019,30352392
1020,30352258
1021,30352123
1022,30352059
1023,30351986
1024,30351367
1025,30351164
1026,30351159
1027,30351157
1028,30350980
1029,30350446
1030,30350426
1031,30350239
1032,30349761
1033,30349631
1034,30349592
1035,30349339
1036,30349136
1037,30348820
1038,30348622
1039,30348225
1040,30347893
1041,30347877
1042,30347741
1043,30347719
1044,30347266
1045,30344977
1046,30344272
1047,30344169
1048,30344017
1049,30343656
1050,30343647
1051,30343561
1052,30343140
